Id_bien;No_voie;B/T/Q;Type_voie;Voie;Surface_carrez;Type_local;Nombre_pieces;codedep_codecom
6414;68;;CRS;VICTOR HUGO;35,6;Appartement;2;33119
6415;13;;RUE;ARISTIDE BRIAND;23,84;Appartement;1;33119
6416;1;;RUE;EUGENE DELACROIX;90,13;Appartement;4;33119
6417;1;;RUE;PAUL VERLAINE;75,97;Appartement;4;33119
6418;1;;RUE;CAMILLE PELLETAN;55,03;Appartement;3;33119
6419;2;;RUE;PIERRE BENOIT;97,85;Appartement;5;33119
6420;11;;RUE;DU ONZE NOVEMBRE 1918;103,58;Appartement;6;33119
6421;4;;RUE;PIERRE CURIE;18,27;Appartement;1;33119
6422;11;;RUE;BEAUMARCHAIS;69,51;Appartement;3;33119
6423;11;;RUE;CAMILLE PELLETAN;66,51;Appartement;3;33119
6424;28;;RUE;ARISTIDE BRIAND;76,38;Appartement;4;33119
6425;21;;RUE;DU ONZE NOVEMBRE 1918;38,76;Appartement;1;33119
6426;2;;ALL;ELSA TRIOLET;54,34;Appartement;2;33119
6427;13;;RUE;ARISTIDE BRIAND;42,08;Appartement;1;33119
6428;4;;RUE;PIERRE CURIE;17,58;Appartement;1;33119
6429;20;;RUE;RENE DESCARTES;103,84;Appartement;5;33119
6430;1;;RUE;JEAN ZAY;16,94;Appartement;1;33119
6431;9;;RUE;DE BELFORT;51,4;Appartement;2;33449
6432;24;;ALL;DES ACACIAS;71,34;Maison;3;33376
6433;45;;RUE;JEAN JAURES;32,08;Appartement;1;33449
6434;10;;ALL;DE HAUTE GRAVE;46,09;Appartement;2;33376
6435;15;;RUE;HENRI MARTIN;77,48;Appartement;4;33449
6436;3;;VOIE;JEAN FERRAT;37,24;Appartement;2;33449
6437;11;;ALL;DES ACACIAS;69,22;Appartement;3;33376
6438;4;;ALL;DES MARRONNIERS;82,18;Maison;3;33376
6439;85;;AV;MONTESQUIEU;40,41;Appartement;2;33449
6440;1;;RUE;JULES MASSENET;46,24;Appartement;2;33449
